text,label
My salary is 5000 dollars,1
Here is my ID number 123456,1
Send the internal financial report,1
My email is test@example.com,1
My bank account number is 987654321,1
This is a confidential document,1
My SSN is 123-45-6789,1
Employee payroll data attached,1
My credit card number is 4111111111111111,1
Internal HR report for Q1,1
My password is secret123,1
Patient medical record ID 78432,1
Classified project budget details,1
Personal data of client John Smith,1
My phone number is 0612345678,1
Transfer 50000 to account 23456789,1
This report is strictly confidential,1
My national ID is AB123456,1
Salary slip for March 2026,1
Login credentials username admin password 1234,1
My PIN code is 4892,1
Send me the internal financial report,1
My passport number is X1234567,1
This email contains confidential information,1
My date of birth is 01/01/1990,1
Employee salary review document,1
My account balance is 150000 dollars,1
Internal memo for management only,1
My social security number is 987654321,1
Client personal data must stay private,1
My bank PIN is 9876,1
Payroll processing for this month,1
My private key is abc123xyz,1
This document is for internal use only,1
My medical insurance number is MED78432,1
Transfer funds to account 445566778,1
My home address is 123 Main Street,1
Employee performance review confidential,1
My tax identification number is 123456789,1
Secret project budget is 500000 dollars,1
My driving license number is DL123456,1
This salary data is private,1
My credit score is 780,1
Internal company strategy document,1
My personal email is private@gmail.com,1
Bank statement for account 998877665,1
My health record shows diabetes,1
Confidential merger discussion document,1
My net worth is 2 million dollars,1
Private client financial data enclosed,1
What is machine learning?,0
Explain cloud computing,0
Write a short poem about AI,0
Summarize the concept of databases,0
Tell me a joke,0
What is the capital of France?,0
How does a neural network work?,0
Explain the difference between AI and ML,0
What are the benefits of cloud storage?,0
Write a summary of the history of computers,0
How does encryption work?,0
What is natural language processing?,0
Explain supervised learning,0
What is an API?,0
How does the internet work?,0
What is Python used for?,0
Explain gradient descent,0
What are transformers in AI?,0
How do recommendation systems work?,0
What is the difference between SQL and NoSQL?,0
Describe the agile development methodology,0
What is DevOps?,0
How does a VPN work?,0
Explain blockchain technology,0
What is computer vision?,0
I love football,0
I enjoy cooking pasta,0
My favorite color is blue,0
What is the speed of light?,0
How do I learn Python?,0
I am studying computer science,0
I enjoy hiking in the mountains,0
What are the benefits of exercise?,0
I have a meeting tomorrow,0
What is the best programming language?,0
How do I improve my English?,0
I am working on a research project,0
What is quantum machine learning?,0
My project accuracy is very high,0
I enjoy watching movies,0
What is artificial intelligence?,0
How do I stay motivated?,0
I am happy today,0
What is the meaning of life?,0
I have an office with a nice view,0
My office has a coffee machine,0
I keep my documents organized,0
What is a safe?,0
I work in a big company,0
My team is very productive,0
I enjoy playing video games,0
What is the best way to learn?,0
I have a small budget for my project,0
My accuracy in the project is 90 percent,0
I have a project about quantum computing,0
What is the weather today?,0
How are you doing?,0
I enjoy playing chess,0
I enjoy drawing,0
I enjoy painting,0
I enjoy reading books,0
What is the best diet?,0
How do I meditate?,0
I love traveling to new places,0
What is the history of the internet?,0
How does machine learning work?,0
I am learning data science,0
What is deep learning?,0
How do I build a website?,0
